year,minimum_doy,minimum_date,minimum_value_mkm2
1979,238,1979-08-26,5.867941
1980,237,1980-08-24,6.078855
1981,251,1981-09-08,5.596707
1982,248,1982-09-05,5.494856
1983,245,1983-09-02,5.633022
1984,225,1984-08-12,-0.000999
1985,242,1985-08-30,5.50903
1986,239,1986-08-27,5.932383
1987,337,1987-12-03,-0.000999
1988,246,1988-09-02,5.475748
1989,252,1989-09-09,5.305472
1990,247,1990-09-04,5.034063
1991,258,1991-09-15,5.079861
1992,244,1992-08-31,5.356268
1993,247,1993-09-04,4.935562
1994,247,1994-09-04,5.497146
1995,272,1995-09-29,4.830327
1996,252,1996-09-08,5.735356
1997,238,1997-08-26,5.289323
1998,249,1998-09-06,4.770256
1999,249,1999-09-06,4.539305
2000,246,2000-09-02,4.751219
2001,253,2001-09-10,5.126369
2002,247,2002-09-04,4.402988
2003,244,2003-09-01,4.658613
2004,244,2004-08-31,4.562649
2005,229,2005-08-17,4.354991
2006,265,2006-09-22,4.468874
2007,261,2007-09-18,3.26167
2008,239,2008-08-26,3.553291
2009,242,2009-08-30,3.944773
2010,250,2010-09-07,3.36251
2011,234,2011-08-22,3.275942
2012,249,2012-09-05,2.608524
2013,254,2013-09-11,4.056329
2014,250,2014-09-07,3.825377
2015,250,2015-09-07,3.524863
2016,248,2016-09-04,2.834577
2017,243,2017-08-31,3.458602
2018,251,2018-09-08,3.545222
2019,236,2019-08-24,3.145677
2020,251,2020-09-07,2.970673
2021,244,2021-09-01,3.533635
2022,247,2022-09-04,3.66706
2023,250,2023-09-07,3.196111
2024,246,2024-09-02,2.994934
2025,250,2025-09-07,3.393861
